lang,src_url,tgt_url,shopify_url,match_pass,src_handle_similarity,note
de,/de/3/krperpflege/cannacura-hanfprodukte.aspx,/de/3/krperpflege/krperpflege.aspx,/collections/korperpflege,fuzzy,0.18,src slug and chosen handle are dissimilar
en,/en/3/body-care/cannacura-hemp-products.aspx,/en/3/body-care.aspx,/collections/body-care,exact,0.25,src slug and chosen handle are dissimilar
es,/es/3/cuidado-del-cuerpo/productos-de-camo-cannacura.aspx,/es/3/cuidado-del-cuerpo.aspx,/collections/cuidado-del-cuerpo,exact,0.31,src slug and chosen handle are dissimilar
fr,/fr/3/soin-du-corps/cannacura-produits-de-chanvre.aspx,/fr/3/soin-du-corps.aspx,/collections/soin-du-corps,exact,0.33,src slug and chosen handle are dissimilar
it,/it/3/cura-del-corpo/cannacura-prodotti-alla-canapa.aspx,/it/3/cura-del-corpo.aspx,/collections/cura-del-corpo,exact,0.45,src slug and chosen handle are dissimilar
de,/de/3/home-living/fahnen-strandtcher-und-thangkas.aspx,/de/3/textilien/tapisserien-und-stranddecke.aspx,/collections/tapisserien-und-stranddecke,exact,0.41,src slug and chosen handle are dissimilar
fr,/fr/3/maison-dco/drapeaux-serviettes-de-plage-et-thankas.aspx,/fr/3/textiles/bannires-tentures-murales-et-coussins.aspx,/collections/bannieres-tentures-murales-et-coussins,exact,0.42,src slug and chosen handle are dissimilar
nl,/nl/3/spiritualiteit/thangkas.aspx,/nl/3/textiel/banners-wandkleden-en-strandlakens.aspx,/collections/banners-wandkleden-en-strandlakens,exact,0.24,src slug and chosen handle are dissimilar
de,/de/3/spiritualitt/thangkas.aspx,/de/3/textilien/tapisserien-und-stranddecke.aspx,/collections/tapisserien-und-stranddecke,exact,0.23,src slug and chosen handle are dissimilar
en,/en/3/spirituality/thangkas.aspx,/en/3/textiles/banners-wall-hangings-beachtowels.aspx,/collections/banners-wall-hangings-beachtowels,exact,0.29,src slug and chosen handle are dissimilar
it,/it/3/spiritualita/thangke.aspx,/it/3/tessuti/stendardi-arazzi-teli.aspx,/collections/stendardi-arazzi-teli,exact,0.21,src slug and chosen handle are dissimilar
nl,/nl/3/gezonde-leefstijl/thee-numi-thee-biologisch.aspx,/nl/3/gezonde-leefstijl.aspx,/collections/gezonde-leefstijl,exact,0.19,src slug and chosen handle are dissimilar
de,/de/3/gesunde-lebensweise/tee-numi-tee-biologisch.aspx,/de/3/gesunde-lebensweise.aspx,/collections/gesunde-lebensweise,exact,0.33,src slug and chosen handle are dissimilar
es,/es/3/productos-para-una-vida-sana/t-numi-t-orgnico.aspx,/es/3/productos-para-una-vida-sana.aspx,/collections/productos-para-una-vida-sana,exact,0.27,src slug and chosen handle are dissimilar
it,/it/3/articoli-per-una-vita-sana/t-numi-thee-biologico.aspx,/it/3/articoli-per-una-vita-sana.aspx,/collections/articoli-per-una-vita-sana,exact,0.17,src slug and chosen handle are dissimilar
de,/de/3/gesunde-lebensweise/or-tea-tee.aspx,/de/3/gesunde-lebensweise/tee-alle-produkte.aspx,/collections/tee-alle-produkte,exact,0.22,src slug and chosen handle are dissimilar
fr,/fr/3/produits-pour-une-vie-saine/th-or-tea.aspx,/fr/3/produits-pour-une-vie-saine/th-et-accessoires.aspx,/collections/the-et-accessoires,exact,0.44,src slug and chosen handle are dissimilar
nl,/nl/3/gezonde-leefstijl/thee-solaris-biologisch.aspx,/nl/3/gezonde-leefstijl/thee-alle-producten.aspx,/collections/thee-alle-producten,exact,0.33,src slug and chosen handle are dissimilar
de,/de/3/gesunde-lebensweise/biologischer-tee-solaris.aspx,/de/3/gesunde-lebensweise/tee-alle-produkte.aspx,/collections/tee-alle-produkte,exact,0.24,src slug and chosen handle are dissimilar
en,/en/3/healthy-lifestyle/tea-solaris-organic.aspx,/en/3/healthy-lifestyle/tea-all-products.aspx,/collections/tea-all-products,exact,0.29,src slug and chosen handle are dissimilar
fr,/fr/3/produits-pour-une-vie-saine/th-solaris-biologique.aspx,/fr/3/produits-pour-une-vie-saine/th-et-accessoires.aspx,/collections/the-et-accessoires,exact,0.36,src slug and chosen handle are dissimilar
it,/it/3/articoli-per-una-vita-sana/t-solaris-organico.aspx,/it/3/articoli-per-una-vita-sana/t-e-articoli-correlati.aspx,/collections/te-e-articoli-correlati,exact,0.34,src slug and chosen handle are dissimilar
